"505","S","1003","T/C histórico"
"109","J","EURO","EMU 規定 固定換算レート"
"800","Z","1014","Rate on key date in previous year"
"519","V","2004","Kurs för referensdag föreg.år"
"505","S","1004","T/C en fecha clave ej.ant."
"800","Z","200*","Reference value = group value"
"505","S","2001","T/C en fecha clave"
"109","J","EURX","EMU 規定 変動換算レート"
"519","V","B","Standardomräkning (säljkurs)"
"505","S","2002","T/C estándar"
"109","J","G","電信売買買値"
"800","Z","2001","Current exchange rate"
"505","S","2003","T/C histórico"
"519","V","EURO","EMU-regel\, fasta kurser"
"109","J","I","域内取引換算レートタイプ"
"800","Z","2002","Average rate"
"505","S","2004","T/C en fecha clave ej.ant."
"109","J","M","電信売買仲値"
"800","Z","2003","Historical rate"
"519","V","EURX","EMU-regel\, variabla kurser"
"519","V","G","Standardomräkning (köpkurs)"
"800","Z","2004","Rate on key date in previous year"
"109","J","P","原価計画用標準標準換算レート"
"519","V","I","Kurskategori IntraStat"
"800","Z","2011","Current exchange rate"
"109","L","100*","Wartość referencyjna = wartość grupy"
"505","S","B","Conversión normal según T/C vendedor"
"800","Z","2012","Average rate"
"519","V","M","Standardomräkning (genomsnittskurs)"
"109","L","1001","Kurs na dzień"
"505","S","EURO","Conversión normal según T/C estándar"
"800","Z","2013","Historical rate"
"109","L","1002","Średni kurs waluty"
"519","V","P","Standardomräkning för kostn.planeringen"
"505","S","G","Conversión normal según T/C comprador"
"800","Z","2014","Rate on key date in previous year"
"109","L","1003","Historyczny kurs waluty"
"522","1","100*","参考值 = 组值"
"505","S","M","Conversión normal según T/C estándar"
"800","Z","B","Standard conversion at bank selling rate"
"522","1","1001","当前兑换率"
"109","L","1004","Kurs określonego dnia z roku poprz."
"505","S","P","Conversión estándar para planif. costes"
"800","Z","EURB","EMU - Conversion Cash/Letter"
"522","1","1002","平均兑换率"
"109","L","200*","Wartość referencyjna = wartość grupy"
"506","1","100*","参考值 = 组值"
"522","1","1003","历史兑换率"
"800","Z","EURG","EMU - Conversion Cash/Letter"
"109","L","2001","Kurs na dzień"
"506","1","1001","当前兑换率"
"522","1","1004","前年的当前兑换率"
"800","Z","EURO","EMU - Conversion method"
"506","1","1002","平均兑换率"
"109","L","2002","Średni kurs waluty"
"522","1","200*","参考值 = 组值"
"506","1","1003","历史兑换率"
"800","Z","EURX","EWU - Conversion method not participant"
"109","L","2003","Historyczny kurs waluty"
